Distance_kpc,TotalBaryonicMass_kg,AzimuthalVelocity_kms
0.2,1.537128101335136e+39,128.9312535527765
0.4,4.33153567821191e+39,153.04146846479506
0.6000000000000001,7.393695336275249e+39,163.25756784157616
0.8,1.0497903368054274e+40,168.47073235553555
1.0,1.3595588124840217e+40,171.4814596211333
1.2,1.6680975760382794e+40,173.39568050573862
1.4000000000000001,1.9756530231862545e+40,174.70667193023735
1.6,2.282395203566636e+40,175.6522040190175
1.8,2.588233940329789e+40,176.35333756128952
2.0,2.8928391940921887e+40,176.87453882310209
2.2,3.1957110596858904e+40,177.25177148363892
2.4000000000000004,3.496251066935148e+40,177.50633492608517
2.6000000000000005,3.793820756505482e+40,177.6519185556874
2.8000000000000003,4.0877851701996087e+40,177.69826524398405
3.0000000000000004,4.377542811527373e+40,177.65308172942628
3.2,4.662544707033776e+40,177.5230240052816
3.4000000000000004,4.942305206399238e+40,177.31419061434363
3.6000000000000005,5.21640679403612e+40,177.03235530789001
3.8000000000000003,5.484500731079004e+40,176.68306433267054
4.0,5.746304918847168e+40,176.27166629755587
4.2,6.001600013222377e+40,175.80331117298516
4.4,6.250224531219922e+40,175.28293765256086
4.6000000000000005,6.4920694699164e+40,174.71525855640152
4.800000000000001,6.727072792762482e+40,174.1047487439062
5.000000000000001,6.9552140175887e+40,173.4556372214996
5.2,7.176509053984387e+40,172.77190370642734
5.4,7.391005376663946e+40,172.0572792339109
5.6000000000000005,7.598777579193589e+40,171.315250127822
5.800000000000001,7.79992332387108e+40,170.54906460002775
6.000000000000001,7.994559684753159e+40,169.76174129185375
6.2,8.182819868943913e+40,168.95607916295944
6.4,8.364850294199539e+40,168.1346682365502
6.6000000000000005,8.540807997158955e+40,167.2999008093528
6.800000000000001,8.710858344993529e+40,166.45398282303762
7.000000000000001,8.875173023216332e+40,165.59894516844412
7.2,9.033928273264183e+40,164.73665475515566
7.4,9.18730335489133e+40,163.8688252279371
7.6000000000000005,9.335479210138032e+40,162.99702724998926
7.800000000000001,9.478637307489158e+40,162.12269830263915
8.0,9.616958646706218e+40,161.2471519736125
8.2,9.750622906630364e+40,160.37158672284596
8.4,9.879807719971852e+40,159.49709412710686
8.6,1.0004688060700886e+41,158.6246666134874
8.799999999999999,1.0125435731125735e+41,157.75520469793827
9.0,1.0242218937085157e+41,156.88952374904594
9.2,1.0355201940897617e+41,156.02836029974534
9.4,1.046454478280623e+41,155.17237793099758
9.6,1.0570403062644453e+41,154.32217275195245
9.8,1.06729277743327e+41,153.47827850100282
10.0,1.0772265186609424e+41,152.64117129159632
10.2,1.0868556764110741e+41,151.81127402584232
10.4,1.0961939123548862e+41,150.98896049793686
10.6,1.1052544020309303e+41,150.1745592083055
10.8,1.1140498361296765e+41,149.3683569081855
11.0,1.1225924240316562e+41,148.57060189317815
11.2,1.1308938992687681e+41,147.78150706312644
11.4,1.1389655266150576e+41,147.00125276452948
11.6,1.1468181105461743e+41,146.22998943061225
11.8,1.1544620048362134e+41,145.46784003312698
12.0,1.1619071230871318e+41,144.71490235898295
12.2,1.1691629500096555e+41,143.9712511238791
12.4,1.176238553295927e+41,143.2369399342552
12.6,1.1831425959432412e+41,142.512003108074
12.8,1.1898833489053664e+41,141.7964573642041
13.0,1.1964687039633257e+41,141.0903033894798
13.2,1.2029061867212815e+41,140.39352729187456
13.4,1.209202969645514e+41,139.70610194763177
13.6,1.2153658850755185e+41,139.0279882496455
13.8,1.2214014381461186e+41,138.35913626387708
14.0,1.2273158195683266e+41,137.6994863001211
14.2,1.2331149182245201e+41,137.04896990299855
14.4,1.2388043335405455e+41,136.4075107686525
14.6,1.2443893876035632e+41,135.77502559224405
14.8,1.2498751370000067e+41,135.15142485100336
15.0,1.2552663843529163e+41,134.53661352726417
15.2,1.260567689542258e+41,133.9304917756145
15.4,1.2657833805956555e+41,133.33295553801702
15.6,1.2709175642403316e+41,132.74389711049338
15.8,1.2759741361100085e+41,132.1632056647287
16.0,1.2809567906030897e+41,131.59076772772693
16.2,1.2858690303906983e+41,131.02646762243992
16.4,1.2907141755750853e+41,130.4701878720999
16.6,1.2954953725006011e+41,129.92180957080262
16.8,1.3002156022208602e+41,129.3812127227206
17.0,1.3048776886269455e+41,128.8482765521674
17.2,1.3094843062425391e+41,128.3228797865885
17.4,1.3140379876927156e+41,127.80490091441399
17.6,1.318541130853848e+41,127.2942184195831
17.8,1.3229960056926501e+41,126.79071099442774
18.0,1.327404760802835e+41,126.29425773249191
18.2,1.3317694296482153e+41,125.80473830275781
18.4,1.3360919365213387e+41,125.3220331066519
18.6,1.3403741022269158e+41,124.84602341911152
18.8,1.3446176494994195e+41,124.3765915149079
19.0,1.3488242081642668e+41,123.91362078133957
19.2,1.3529953200519927e+41,123.45699581833637
19.400000000000002,1.3571324436747709e+41,123.00660252694232
19.6,1.3612369586745398e+41,122.56232818708125
19.8,1.3653101700518653e+41,122.12406152544594
20.0,1.3693533121845195e+41,121.69169277429498
